Student ID,Name,Location,Zip Code,Grade,Major,Interests,Bio
1,Daniel Rodriguez,Suburban Area,75560,12,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Daniel Rodriguez! A 12th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
2,Jackson Jackson,Urban Area,45931,11,Science,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Jackson Jackson! A 11th-grade student interested in Science. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
3,Isabella Miller,Urban Area,82335,6,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Isabella Miller! A 6th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
4,Liam Taylor,Suburban Area,49512,5,Arts,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Liam Taylor! A 5th-grade student interested in Arts. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
5,Sophia Davis,Rural Area,14740,12,Mathematics,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Sophia Davis! A 12th-grade student interested in Mathematics. I find joy in designing and creating structures, from bridges to small engineering projects."
6,Ava Brown,Urban Area,13259,8,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ava Brown! A 8th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
7,Olivia Garcia,Urban Area,88258,3,Engineering,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Olivia Garcia! A 3th-grade student interested in Engineering. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
8,Aiden Jackson,Rural Area,80339,1,Mathematics,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Aiden Jackson! A 1th-grade student interested in Mathematics. I find joy in designing and creating structures, from bridges to small engineering projects."
9,Noah Johnson,Urban Area,62133,6,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Johnson! A 6th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
10,Emily Miller,Rural Area,87049,3,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Emily Miller! A 3th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
11,Emma Jackson,Suburban Area,55692,9,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Emma Jackson! A 9th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
12,Ethan Smith,Suburban Area,71210,3,Science,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Ethan Smith! A 3th-grade student interested in Science. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
13,Olivia Jones,Urban Area,11285,2,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Olivia Jones! A 2th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
14,Isabella Davis,Suburban Area,97569,11,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Isabella Davis! A 11th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
15,Noah Rodriguez,Rural Area,42290,12,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Noah Rodriguez! A 12th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
16,Ethan Jones,Urban Area,38003,3,Arts,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Ethan Jones! A 3th-grade student interested in Arts. I'm fascinated by robotics and love building simple robots to understand how they work."
17,Isabella Jones,Rural Area,46498,4,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Isabella Jones! A 4th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
18,Aiden Brown,Suburban Area,89486,8,Science,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Aiden Brown! A 8th-grade student interested in Science. I'm fascinated by robotics and love building simple robots to understand how they work."
19,Daniel Smith,Rural Area,20638,3,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Daniel Smith! A 3th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
20,Isabella Jones,Rural Area,85289,11,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Isabella Jones! A 11th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
21,Aiden Taylor,Suburban Area,35388,3,Science,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Aiden Taylor! A 3th-grade student interested in Science. I'm fascinated by robotics and love building simple robots to understand how they work."
22,Isabella Smith,Suburban Area,34430,5,Mathematics,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Isabella Smith! A 5th-grade student interested in Mathematics. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
23,Sophia Jones,Urban Area,88833,3,Science,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Sophia Jones! A 3th-grade student interested in Science. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
24,Emily Smith,Suburban Area,53415,5,Engineering,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emily Smith! A 5th-grade student interested in Engineering. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
25,Emily Taylor,Urban Area,91939,10,Engineering,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Emily Taylor! A 10th-grade student interested in Engineering. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
26,Noah Johnson,Urban Area,24271,1,Mathematics,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Johnson! A 1th-grade student interested in Mathematics. I find joy in designing and creating structures, from bridges to small engineering projects."
27,Ava Brown,Rural Area,65791,9,Science,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ava Brown! A 9th-grade student interested in Science. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
28,Jackson Jones,Urban Area,53315,5,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Jackson Jones! A 5th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
29,Emily Smith,Suburban Area,22722,4,Engineering,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Emily Smith! A 4th-grade student interested in Engineering. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
30,Emma Rodriguez,Urban Area,46999,11,Technology,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Emma Rodriguez! A 11th-grade student interested in Technology. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
31,Emily Williams,Urban Area,57047,4,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emily Williams! A 4th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
32,Emma Davis,Urban Area,13808,6,Arts,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emma Davis! A 6th-grade student interested in Arts. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
33,Olivia Taylor,Rural Area,21991,11,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Olivia Taylor! A 11th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
34,Ethan Garcia,Suburban Area,73668,7,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ethan Garcia! A 7th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
35,Isabella Martinez,Rural Area,98215,1,Engineering,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Isabella Martinez! A 1th-grade student interested in Engineering. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
36,Daniel Miller,Rural Area,18156,3,Science,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Daniel Miller! A 3th-grade student interested in Science. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
37,Ava Miller,Suburban Area,37608,10,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Ava Miller! A 10th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
38,Liam Johnson,Rural Area,98491,2,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Liam Johnson! A 2th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
39,Emily Jones,Urban Area,21989,10,Engineering,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emily Jones! A 10th-grade student interested in Engineering. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
40,Daniel Brown,Suburban Area,37589,7,Technology,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Daniel Brown! A 7th-grade student interested in Technology. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
41,Sophia Brown,Urban Area,89217,10,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Sophia Brown! A 10th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
42,Emily Garcia,Suburban Area,86559,5,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emily Garcia! A 5th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
43,Liam Brown,Suburban Area,97167,2,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Liam Brown! A 2th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
44,Jackson Williams,Rural Area,61130,1,Science,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Jackson Williams! A 1th-grade student interested in Science. I'm fascinated by robotics and love building simple robots to understand how they work."
45,Isabella Jackson,Suburban Area,92717,3,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Isabella Jackson! A 3th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
46,Aiden Martinez,Urban Area,65129,9,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Aiden Martinez! A 9th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
47,Daniel Martinez,Urban Area,90434,4,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Daniel Martinez! A 4th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
48,Ethan Taylor,Rural Area,42227,6,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Ethan Taylor! A 6th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
49,Ethan Jones,Rural Area,77848,2,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ethan Jones! A 2th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
50,Ethan Jones,Rural Area,54134,3,Mathematics,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Ethan Jones! A 3th-grade student interested in Mathematics. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
51,Olivia Johnson,Urban Area,72670,7,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Olivia Johnson! A 7th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
52,Sophia Williams,Urban Area,33386,3,Engineering,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Sophia Williams! A 3th-grade student interested in Engineering. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
53,Noah Rodriguez,Suburban Area,51813,9,Technology,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Noah Rodriguez! A 9th-grade student interested in Technology. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
